 DATE,                                     CHEMICAL ANALYSIS,,,,,,,,Avl. lime,Basicity  (B2),     SCREEN  ANALYSIS,,,,,%MPS,TI,RDI,RI,MgO/Al2O3
,%T(Fe),%FeO,%CaO,%MgO,%SiO2,%Al2O3,%K2O,% P,Avl. lime,Basicity  (B2),%+40MM,%40+25MM,%25+10MM,%10+5MM,%5 MM,%MPS,TI,RDI,RI,MgO/Al2O3
24-May-25,52.46,10.29,12.91,2.37,6.15,3.21,0.08,0.08,6.76,2.10,7.52,9.21,44.16,32.63,6.48,16.72,80.90,21.70,67.37,0.74
25-May-25,52.64,10.47,12.85,2.32,6.06,3.17,0.08,0.08,6.79,2.12,7.68,9.66,43.75,32.46,6.45,16.85,79.58,21.60,72.51,0.73
26-May-25,52.89,10.38,12.61,2.27,6.01,3.20,0.08,0.08,6.59,2.10,7.54,9.61,43.37,32.90,6.58,16.74,79.59,23.90,68.79,0.71
27-May-25,52.90,10.44,12.54,2.27,6.07,3.14,0.08,0.08,6.47,2.07,7.68,9.71,43.44,32.78,6.40,16.83,79.76,23.80,70.46,0.72
28-May-25,52.91,10.41,12.51,2.30,6.03,3.12,0.08,0.08,6.48,2.07,7.90,9.49,43.53,32.77,6.32,16.87,81.28,20.80,71.56,0.74
29-May-25,53.01,10.44,12.43,2.30,6.01,3.10,0.08,0.08,6.42,2.07,7.66,9.23,45.05,31.81,6.26,16.88,79.51,,,0.74
30-May-25,52.93,10.37,12.49,2.29,6.01,3.17,0.08,0.08,6.48,2.08,7.76,9.67,43.73,32.46,6.38,16.88,78.96,24.00,70.72,0.72
31-May-25,52.94,10.29,12.40,2.28,6.01,3.19,0.08,0.08,6.39,2.06,7.51,9.57,43.19,33.04,6.69,16.69,77.69,23.20,69.50,0.72
1-Jun-25,53.14,10.31,12.08,2.31,5.94,3.15,0.08,0.08,6.15,2.03,7.37,9.40,44.02,32.69,6.52,16.69,77.82,22.80,71.21,0.73
2-Jun-25,53.13,10.32,11.98,2.31,5.95,3.18,0.08,0.08,6.03,2.01,7.70,9.59,43.74,32.66,6.31,16.85,78.76,24.25,72.10,0.73
3-Jun-25,53.08,10.46,12.04,2.37,6.02,3.10,0.08,0.08,6.03,2.00,7.02,9.57,44.69,32.44,6.29,16.68,77.82,23.00,73.34,0.76
4-Jun-25,52.61,10.38,12.39,2.45,6.16,3.21,0.08,0.08,6.24,2.01,7.47,9.62,44.52,32.01,6.38,16.84,78.28,23.40,71.41,0.76
5-Jun-25,53.01,10.44,12.09,2.35,6.00,3.17,0.08,0.08,6.10,2.02,7.95,9.80,44.24,31.77,6.25,17.04,78.22,,72.69,0.74
6-Jun-25,52.95,10.40,12.33,2.37,6.12,3.06,0.08,0.08,6.21,2.02,8.24,9.86,45.20,30.91,5.79,17.29,77.36,23.80,,0.77
7-Jun-25,53.10,10.48,12.19,2.31,6.02,3.10,0.08,0.08,6.18,2.03,7.60,8.74,44.41,32.68,6.58,16.65,78.11,23.60,70.47,0.74
8-Jun-25,53.16,10.41,12.23,2.29,6.02,3.12,0.08,0.08,6.21,2.03,7.69,9.47,44.25,32.32,6.27,16.86,79.07,22.80,72.16,0.74
9-Jun-25,53.13,10.38,12.22,2.28,6.06,3.10,0.08,0.08,6.16,2.02,7.79,9.87,43.20,32.84,6.30,16.89,78.59,23.60,70.34,0.74
10-Jun-25,53.00,10.48,12.33,2.28,6.08,3.11,0.08,0.08,6.24,2.03,7.85,9.66,43.56,32.63,6.30,16.90,79.11,22.80,71.40,0.73
11-Jun-25,52.97,10.42,12.29,2.28,6.09,3.15,0.08,0.08,6.20,2.02,7.74,9.48,43.46,32.74,6.58,16.79,78.73,23.20,73.56,0.72
12-Jun-25,52.99,10.36,12.34,2.29,6.11,3.11,0.08,0.08,6.23,2.02,7.81,9.26,43.70,32.92,6.32,16.80,78.25,24.10,72.16,0.74
13-Jun-25,53.39,10.34,12.04,2.30,5.92,3.07,0.08,0.08,6.14,2.04,7.97,9.70,43.84,32.28,6.22,16.99,78.31,24.80,73.23,0.75
14-Jun-25,53.84,10.43,11.66,2.30,5.71,3.06,0.08,0.07,5.96,2.04,7.42,8.99,43.65,33.29,6.65,16.56,78.32,23.80,72.88,0.75
15-Jun-25,53.79,10.42,11.79,2.28,5.69,3.06,0.08,0.07,6.11,2.07,7.82,9.22,43.59,32.84,6.53,16.77,78.29,23.60,73.20,0.75
16-Jun-25,53.80,10.42,11.92,2.23,5.64,3.05,0.08,0.08,6.29,2.12,7.57,9.44,43.63,32.91,6.45,16.74,78.77,25.60,69.18,0.73
17-Jun-25,53.88,10.43,11.76,2.21,5.67,3.06,0.08,0.08,6.09,2.07,7.68,9.75,44.23,32.08,6.26,16.93,78.32,24.00,70.26,0.72
18-Jun-25,53.89,10.35,11.76,2.22,5.65,3.06,0.07,0.08,6.12,2.08,7.61,9.76,45.93,30.94,5.76,17.10,78.28,20.80,72.83,0.73
19-Jun-25,53.91,10.55,11.64,2.25,5.65,3.08,0.08,0.08,5.99,2.06,7.91,9.17,43.35,32.98,6.60,16.76,79.40,23.40,73.00,0.73
20-Jun-25,53.92,10.42,11.62,2.27,5.62,3.09,0.08,0.08,6.00,2.07,7.76,9.20,44.18,32.53,6.33,16.81,79.45,22.80,70.17,0.73
21-Jun-25,53.70,10.39,11.72,2.38,5.66,3.14,0.08,0.08,6.06,2.07,7.58,9.53,43.75,32.75,6.39,16.78,78.75,24.80,73.67,0.76
22-Jun-25,53.58,10.38,11.70,2.41,5.67,3.11,0.08,0.08,6.03,2.07,7.66,9.40,44.15,32.38,6.40,16.82,78.48,22.00,69.87,0.77
23-Jun-25,53.60,10.39,11.75,2.32,5.70,3.11,0.08,0.08,6.06,2.06,7.60,9.02,44.14,32.71,6.53,16.69,77.89,23.20,72.66,0.75
24-Jun-25,53.62,10.41,11.75,2.25,5.75,3.08,0.08,0.08,6.01,2.05,7.90,9.54,43.71,32.64,6.22,16.91,78.88,23.80,73.47,0.73
25-Jun-25,53.71,10.49,11.74,2.27,5.70,3.09,0.08,0.08,6.04,2.06,8.00,9.26,43.97,32.61,6.16,16.90,78.63,22.60,74.36,0.73
26-Jun-25,53.69,10.38,11.80,2.30,5.73,3.11,0.08,0.08,6.06,2.06,8.03,9.70,43.97,32.30,6.00,17.03,78.82,23.00,72.39,0.74
27-Jun-25,53.67,10.42,11.80,2.26,5.75,3.13,0.07,0.08,6.05,2.05,7.75,9.53,43.65,32.63,6.45,16.83,78.47,24.20,69.80,0.72
28-Jun-25,53.35,10.52,12.07,2.30,5.87,3.18,0.08,0.08,6.20,2.06,7.81,9.61,44.27,32.33,5.98,16.96,79.32,46.80,73.32,0.72
29-Jun-25,53.20,10.43,12.22,2.31,5.94,3.17,0.08,0.08,6.28,2.06,7.40,9.54,44.48,32.21,6.37,16.79,78.97,23.80,68.45,0.73
30-Jun-25,53.16,10.37,12.24,2.33,5.97,3.16,0.08,0.08,6.27,2.05,7.61,9.39,44.28,32.35,6.37,16.81,78.17,23.20,72.42,0.74
1-Jul-25,53.14,10.44,12.27,2.31,5.97,3.14,0.08,0.08,6.30,2.05,7.47,9.11,44.84,32.22,6.37,16.74,79.90,23.60,73.08,0.74
2-Jul-25,53.18,10.49,12.22,2.25,5.96,3.11,0.08,0.08,6.26,2.05,7.31,8.67,44.60,32.80,6.63,16.54,77.71,22.80,73.62,0.72
3-Jul-25,53.21,10.39,12.26,2.30,5.94,3.15,0.08,0.08,6.31,2.06,7.57,9.40,44.61,32.21,6.22,16.84,79.08,23.40,72.75,0.73
4-Jul-25,53.18,10.50,12.34,2.26,5.94,3.11,0.07,0.08,6.39,2.08,7.84,9.38,44.37,32.13,6.28,16.91,79.10,22.40,73.87,0.73
5-Jul-25,53.12,10.40,12.29,2.28,5.98,3.13,0.08,0.08,6.31,2.06,7.71,9.39,43.36,32.88,6.67,16.74,77.82,23.20,74.07,0.73
6-Jul-25,53.16,10.35,12.30,2.22,5.98,3.13,0.08,0.09,6.31,2.06,7.38,9.33,44.03,32.79,6.47,16.68,79.51,23.60,72.22,0.71
7-Jul-25,53.12,10.40,12.31,2.26,5.97,3.12,0.08,0.08,6.34,2.06,7.73,9.83,44.63,31.85,5.95,17.02,80.32,23.60,71.88,0.72
8-Jul-25,53.07,10.36,12.34,2.34,5.98,3.10,0.08,0.08,6.36,2.06,7.52,9.12,45.44,31.76,6.16,16.83,79.47,22.40,72.27,0.75
9-Jul-25,53.37,10.44,12.12,2.22,5.88,3.12,0.08,0.08,6.24,2.06,7.88,9.33,44.45,32.15,6.20,16.92,79.16,24.80,73.96,0.71
10-Jul-25,53.28,10.42,12.22,2.16,5.91,3.11,0.08,0.08,6.32,2.07,7.64,9.47,43.71,32.75,6.43,16.78,78.75,24.00,69.07,0.69
11-Jul-25,53.07,10.38,12.34,2.29,5.96,3.12,0.08,0.08,6.38,2.07,7.66,9.35,44.52,32.18,6.29,16.85,79.32,21.60,72.19,0.73
12-Jul-25,53.12,10.04,12.32,2.30,5.99,3.08,0.08,0.08,6.34,2.06,7.44,9.32,44.17,32.61,6.46,16.71,78.74,23.80,71.00,0.75
13-Jul-25,52.96,9.69,12.42,2.32,5.98,3.16,0.08,0.08,6.44,2.08,7.11,9.28,43.24,33.32,7.06,16.46,79.52,24.80,72.16,0.74
14-Jul-25,52.92,9.73,12.48,2.41,6.04,3.10,0.08,0.08,6.44,2.07,7.10,8.43,43.98,33.51,6.98,16.32,80.21,24.40,73.17,0.78
15-Jul-25,52.87,9.76,12.58,2.36,6.01,3.12,0.08,0.08,6.57,2.09,7.25,8.37,43.21,33.97,7.21,16.27,80.06,24.80,77.34,0.76
16-Jul-25,52.80,9.67,12.64,2.31,6.07,3.10,0.08,0.08,6.57,2.08,6.90,8.42,43.78,33.61,7.30,16.20,79.73,25.20,74.23,0.75
17-Jul-25,52.99,9.68,12.51,2.31,5.99,3.08,0.08,0.08,6.53,2.09,6.98,8.10,43.06,34.49,7.38,16.08,79.12,25.40,75.34,0.75
18-Jul-25,53.07,9.76,12.40,2.36,5.97,3.07,0.08,0.08,6.42,2.07,6.99,8.12,43.59,33.98,7.32,16.14,80.20,24.10,73.37,0.77
19-Jul-25,53.10,10.28,12.38,2.32,5.96,3.09,0.08,0.08,6.42,2.08,7.33,8.51,43.92,33.30,6.94,16.42,80.51,23.50,72.17,0.75
20-Jul-25,53.13,10.40,12.32,2.27,5.94,3.09,0.08,0.08,6.38,2.08,7.83,9.27,44.16,32.32,6.43,16.85,80.37,23.20,71.25,0.73
21-Jul-25,53.04,10.33,12.44,2.28,6.02,3.08,0.08,0.08,6.42,2.07,7.91,9.50,43.73,32.44,6.43,16.89,81.02,23.60,72.28,0.74
22-Jul-25,53.04,10.34,12.44,2.30,6.00,3.09,0.08,0.08,6.43,2.07,7.75,9.14,45.69,31.36,6.07,16.95,80.88,24.25,71.73,0.75
23-Jul-25,53.02,10.35,12.45,2.35,5.99,3.07,0.08,0.08,6.46,2.08,7.68,9.48,43.65,32.79,6.40,16.80,80.67,23.90,72.60,0.76
24-Jul-25,53.03,10.37,12.40,2.34,6.04,3.07,0.08,0.08,6.36,2.05,7.72,9.69,43.74,32.59,6.27,16.88,,23.40,,0.76
25-Jul-25,53.00,10.15,12.31,2.42,5.98,3.10,0.08,0.08,6.33,2.06,8.19,10.60,43.52,31.39,6.30,17.26,79.54,23.90,71.17,0.78
26-Jul-25,53.06,10.23,12.46,2.24,5.99,3.07,0.08,0.08,6.47,2.08,7.95,9.45,44.03,32.20,6.37,16.93,80.87,23.40,72.61,0.73
27-Jul-25,52.94,10.19,12.56,2.29,6.09,3.07,0.08,0.08,6.47,2.06,7.83,9.53,44.39,32.01,6.24,16.95,79.88,24.25,70.97,0.75
28-Jul-25,52.25,10.22,13.13,2.29,6.39,3.09,0.08,0.08,6.74,2.05,7.85,9.52,43.67,32.63,6.33,16.88,80.12,25.65,71.02,0.74
29-Jul-25,52.77,10.25,12.80,2.26,6.08,3.06,0.08,0.08,6.72,2.11,7.82,9.19,43.82,32.95,6.22,16.80,78.10,24.80,70.56,0.74
30-Jul-25,53.06,10.20,12.54,2.20,5.97,3.06,0.08,0.08,6.57,2.10,7.73,8.92,43.49,33.26,6.60,16.65,79.20,25.20,71.41,0.72
31-Jul-25,53.09,10.28,12.44,2.24,5.93,3.09,0.08,0.08,6.51,2.10,7.99,9.31,43.71,32.53,6.45,16.87,,,,0.73
1-Aug-25,53.22,10.34,12.23,2.33,5.86,3.06,0.07,0.08,6.37,2.09,7.93,9.13,43.66,32.77,6.51,16.80,78.52,25.25,71.10,0.76
2-Aug-25,53.22,10.33,12.20,2.28,5.79,3.07,0.07,0.08,6.42,2.11,7.58,8.97,43.88,32.87,6.70,16.64,79.18,24.00,70.17,0.74
3-Aug-25,53.19,10.34,12.31,2.20,5.87,3.09,0.07,0.08,6.44,2.10,7.78,9.24,43.90,32.78,6.31,16.80,79.56,24.20,72.06,0.71
4-Aug-25,53.28,10.43,12.19,2.29,5.84,3.07,0.08,0.08,6.35,2.09,7.84,9.66,43.50,32.71,6.29,16.89,79.15,23.60,72.89,0.74
5-Aug-25,53.30,10.50,11.87,2.38,5.77,3.14,0.08,0.08,6.10,2.06,7.69,9.03,44.17,32.83,6.28,16.74,78.96,24.15,73.81,0.76
6-Aug-25,53.02,10.34,12.36,2.28,5.90,3.15,0.08,0.08,6.46,2.09,7.94,9.19,43.56,32.83,6.49,16.81,79.87,24.10,72.89,0.72
7-Aug-25,53.07,10.33,12.40,2.24,6.00,3.11,0.07,0.08,6.40,2.07,7.69,9.50,43.75,32.54,6.52,16.81,80.12,23.80,70.36,0.72
8-Aug-25,53.13,10.30,12.29,2.27,5.91,3.12,0.08,0.08,6.38,2.08,7.70,9.26,44.15,32.56,6.33,16.80,78.10,23.60,72.98,0.73
9-Aug-25,53.13,10.39,12.35,2.23,5.95,3.12,0.08,0.08,6.40,2.08,7.73,9.57,44.09,32.33,6.28,16.89,79.44,24.35,70.52,0.72
10-Aug-25,53.11,10.33,12.36,2.27,5.99,3.12,0.07,0.08,6.37,2.06,7.52,9.28,44.16,32.58,6.46,16.73,79.14,23.80,74.03,0.73
11-Aug-25,53.15,10.25,12.32,2.26,5.94,3.10,0.07,0.08,6.38,2.08,7.60,8.99,43.96,32.81,6.64,16.66,78.80,23.50,75.79,0.73
12-Aug-25,53.08,10.29,12.30,2.41,5.94,3.08,0.07,0.08,6.36,2.07,7.91,9.43,43.22,32.84,6.60,16.82,79.54,23.80,74.18,0.78
13-Aug-25,53.06,10.35,12.35,2.33,5.98,3.08,0.07,0.08,6.38,2.07,7.97,9.26,43.56,32.90,6.31,16.85,80.02,23.70,73.65,0.76
14-Aug-25,53.04,10.39,12.45,2.29,6.02,3.08,0.07,0.08,6.43,2.07,7.72,9.67,43.69,32.62,6.31,16.86,79.90,23.60,74.15,0.74
15-Aug-25,53.09,10.29,12.42,2.29,5.96,3.07,0.07,0.08,6.46,2.08,7.51,9.58,44.36,32.30,6.25,16.83,80.08,23.20,73.12,0.74
16-Aug-25,53.06,10.35,12.38,2.30,5.97,3.07,0.07,0.08,6.41,2.07,7.39,9.12,44.62,32.54,6.33,16.70,79.45,23.80,72.26,0.75
17-Aug-25,52.92,10.34,12.49,2.27,6.08,3.13,0.08,0.08,6.41,2.06,7.84,8.94,44.47,32.41,6.35,16.80,79.04,23.00,73.38,0.72
18-Aug-25,52.26,10.15,13.17,2.33,6.28,3.12,0.08,0.09,6.89,2.10,7.65,9.17,44.24,32.59,6.35,16.77,78.12,22.80,73.82,0.75
19-Aug-25,52.22,10.31,13.18,2.31,6.24,3.13,0.08,0.08,6.94,2.11,7.80,9.19,44.92,31.66,6.44,16.89,79.86,23.60,71.58,0.74
20-Aug-25,52.45,10.37,12.87,2.31,6.17,3.17,0.07,0.08,6.70,2.09,7.26,9.26,45.74,31.54,6.20,16.80,78.68,23.80,73.22,0.73
21-Aug-25,52.56,10.37,12.74,2.32,6.11,3.16,0.08,0.08,6.63,2.09,7.60,9.54,44.05,32.60,6.21,16.83,80.10,23.20,71.12,0.74
22-Aug-25,52.62,10.31,12.70,2.27,6.10,3.17,0.08,0.09,6.60,2.08,7.51,9.60,44.69,32.03,6.17,16.88,78.82,23.60,73.81,0.72
23-Aug-25,52.55,10.35,12.84,2.25,6.21,3.13,0.08,0.08,6.63,2.07,7.59,9.08,43.94,32.68,6.70,16.68,77.86,24.00,72.06,0.72
24-Aug-25,52.29,10.24,12.94,2.45,6.31,3.13,0.08,0.08,6.63,2.05,7.29,9.11,44.20,32.91,6.50,16.61,79.54,24.20,70.51,0.78
25-Aug-25,52.29,10.33,12.90,2.45,6.31,3.13,0.08,0.08,6.59,2.05,7.36,9.06,44.94,32.55,6.09,16.71,78.54,23.80,71.49,0.78
26-Aug-25,,,,,,,,,,,,,,,,,,,,#DIV/0!
27-Aug-25,,,,,,,,,,,,,,,,,,,,#DIV/0!
28-Aug-25,,,,,,,,,,,,,,,,,,,,#DIV/0!
29-Aug-25,52.44,10.09,12.38,2.42,5.86,3.24,0.08,0.08,6.52,2.11,,,,,,,,,,0.75
30-Aug-25,52.39,10.23,12.84,2.38,6.18,3.20,0.08,0.08,6.66,2.08,7.94,10.08,43.60,32.19,6.19,17.05,78.80,23.20,74.12,0.74
31-Aug-25,51.40,10.37,14.08,2.29,6.55,3.18,0.08,0.08,7.53,2.15,7.80,9.11,43.73,32.80,6.56,16.75,,,,0.72
1-Sep-25,51.34,10.36,14.15,2.28,6.59,3.12,0.08,0.08,7.56,2.15,7.71,9.44,42.94,33.20,6.72,16.71,80.06,23.80,72.27,0.73
2-Sep-25,52.04,10.33,13.45,2.26,6.38,3.06,0.08,0.08,7.07,2.11,7.49,9.44,43.99,32.60,6.48,16.75,79.68,23.40,71.84,0.74
3-Sep-25,52.13,10.28,13.32,2.28,6.29,3.10,0.08,0.08,7.04,2.12,7.96,9.62,43.66,32.46,6.30,16.94,81.06,23.20,72.78,0.74
4-Sep-25,52.14,10.30,13.40,2.24,6.32,3.09,0.08,0.08,7.08,2.12,7.63,9.46,43.83,32.65,6.43,16.79,80.36,22.00,73.58,0.73
5-Sep-25,52.14,10.34,13.45,2.22,6.36,3.07,0.08,0.08,7.09,2.12,7.81,9.65,44.23,31.96,6.35,16.95,79.56,23.35,72.12,0.72
6-Sep-25,52.18,10.30,13.36,2.19,6.37,3.12,0.08,0.08,6.99,2.10,7.82,9.37,44.64,31.90,6.27,16.92,81.68,23.40,70.69,0.70
7-Sep-25,52.28,10.43,13.25,2.26,6.25,3.09,0.08,0.08,7.00,2.12,7.61,9.58,44.18,32.22,6.41,16.85,80.16,23.60,71.54,0.73
8-Sep-25,52.13,10.21,13.32,2.36,6.36,3.11,0.08,0.08,6.95,2.09,7.92,9.75,43.76,32.40,6.18,16.97,79.82,24.00,73.56,0.76
9-Sep-25,51.95,10.25,13.56,2.31,6.45,3.08,0.08,0.08,7.11,2.10,7.81,9.47,44.16,32.06,6.51,16.89,78.22,23.20,70.06,0.75
10-Sep-25,52.03,10.35,13.51,2.24,6.42,3.08,0.08,0.08,7.09,2.10,7.69,9.44,44.17,32.43,6.28,16.85,79.40,23.00,71.40,0.73
11-Sep-25,52.15,10.40,13.40,2.25,6.34,3.08,0.08,0.08,7.06,2.11,7.69,9.50,43.94,32.56,6.31,16.84,79.04,24.80,72.19,0.73
12-Sep-25,52.12,10.22,13.37,2.23,6.38,3.09,0.08,0.08,6.99,2.10,7.71,9.48,44.42,32.13,6.27,16.89,78.52,23.00,71.26,0.72
13-Sep-25,52.14,10.21,13.44,2.21,6.37,3.10,0.08,0.08,7.08,2.11,7.78,9.50,43.31,32.93,6.48,16.80,79.44,23.60,70.72,0.71
14-Sep-25,52.07,10.23,13.40,2.19,6.46,3.12,0.08,0.08,6.94,2.07,7.37,9.03,44.23,32.87,6.51,16.62,80.10,23.20,73.66,0.70
15-Sep-25,52.09,10.27,13.35,2.27,6.46,3.12,0.08,0.08,6.89,2.07,7.65,9.33,43.84,32.63,6.57,16.75,78.78,23.60,72.71,0.73
16-Sep-25,52.08,10.39,13.36,2.30,6.49,3.08,0.08,0.08,6.87,2.06,7.77,9.21,44.23,32.37,6.42,16.82,80.26,23.55,71.81,0.75
17-Sep-25,52.14,10.51,13.05,2.35,6.53,3.09,0.08,0.08,6.52,2.00,7.83,9.24,44.39,32.32,6.22,16.87,78.37,23.40,73.66,0.76
18-Sep-25,52.24,10.28,12.82,2.36,6.50,3.14,0.08,0.08,6.32,1.97,7.36,9.16,44.70,32.14,6.64,16.69,80.73,23.35,74.37,0.75
19-Sep-25,52.25,10.30,12.80,2.31,6.54,3.19,0.08,0.08,6.26,1.96,7.18,8.69,44.79,32.76,6.58,16.51,81.64,23.20,72.48,0.72
20-Sep-25,52.25,10.29,12.84,2.18,6.55,3.15,0.09,0.08,6.29,1.96,7.38,9.20,43.95,32.87,6.61,16.63,81.12,23.60,71.53,0.69
21-Sep-25,52.20,10.36,12.95,2.16,6.59,3.21,0.09,0.08,6.36,1.96,7.80,9.33,43.68,32.58,6.62,16.79,80.95,23.80,70.69,0.67
22-Sep-25,52.13,10.32,13.00,2.16,6.66,3.24,0.09,0.08,6.34,1.95,7.76,9.03,44.12,32.61,6.48,16.76,79.10,23.40,72.66,0.67
23-Sep-25,52.10,10.32,13.10,2.17,6.64,3.13,0.09,0.08,6.46,1.97,7.53,8.77,44.36,32.86,6.48,16.63,80.66,23.80,70.82,0.70
24-Sep-25,52.15,10.22,13.04,2.25,6.59,3.14,0.09,0.08,6.45,1.98,7.51,9.29,43.85,32.70,6.65,16.69,80.15,24.00,73.53,0.72
25-Sep-25,52.25,10.33,12.97,2.26,6.51,3.12,0.09,0.08,6.45,1.99,7.77,9.40,43.79,32.57,6.47,16.82,78.52,23.60,71.55,0.73
26-Sep-25,52.27,10.35,12.88,2.22,6.53,3.12,0.09,0.08,6.34,1.97,7.42,9.42,44.04,32.61,6.52,16.71,79.22,23.80,72.47,0.71
27-Sep-25,52.28,10.32,12.82,2.26,6.54,3.15,0.09,0.08,6.27,1.96,7.52,9.32,43.76,32.77,6.63,16.69,80.10,23.60,70.56,0.72
28-Sep-25,52.11,10.26,13.03,2.22,6.67,3.20,0.09,0.08,6.36,1.95,7.49,9.32,44.01,32.75,6.59,16.72,78.12,23.80,70.78,0.69
29-Sep-25,52.09,10.26,13.18,2.17,6.74,3.12,0.09,0.08,6.44,1.95,7.66,9.23,44.21,32.49,6.41,16.78,79.54,24.00,71.32,0.69
30-Sep-25,52.12,10.34,13.06,2.25,6.62,3.11,0.08,0.08,6.44,1.97,7.80,9.51,44.81,31.64,6.24,16.97,,,,0.72
1-Oct-25,52.14,10.46,13.07,2.23,6.63,3.11,0.08,0.08,6.43,1.97,7.59,9.64,45.24,31.38,6.16,16.97,79.24,23.00,71.28,0.71
2-Oct-25,52.33,10.42,12.88,2.18,6.56,3.14,0.09,0.08,6.32,1.96,7.61,9.58,44.25,32.22,6.34,16.86,80.28,24.00,70.52,0.69
3-Oct-25,52.16,10.34,12.97,2.21,6.63,3.16,0.09,0.08,6.33,1.96,7.72,9.79,44.28,31.90,6.32,16.95,79.80,23.80,72.62,0.70
4-Oct-25,52.15,10.43,13.01,2.20,6.64,3.16,0.09,0.08,6.37,1.96,7.46,8.99,43.73,33.04,6.78,16.58,78.80,24.00,71.73,0.69
5-Oct-25,52.08,10.36,13.08,2.23,6.69,3.16,0.09,0.08,6.39,1.95,8.15,9.48,43.76,32.21,6.41,16.98,79.60,23.60,70.86,0.70
6-Oct-25,52.11,10.38,13.07,2.24,6.67,3.15,0.09,0.08,6.41,1.96,7.89,9.52,43.69,32.47,6.43,16.89,80.10,24.00,72.38,0.71
7-Oct-25,52.07,10.39,13.11,2.20,6.68,3.16,0.09,0.08,6.43,1.96,7.57,9.38,44.16,32.55,6.34,16.78,79.64,23.20,75.62,0.69
8-Oct-25,52.82,10.37,12.38,2.20,6.29,3.13,0.09,0.08,6.10,1.97,7.82,9.72,43.78,32.62,6.06,16.94,80.80,24.40,72.61,0.70
9-Oct-25,52.49,10.25,12.65,2.25,6.39,3.11,0.09,0.08,6.26,1.98,6.96,8.84,45.23,32.57,6.40,16.52,78.12,23.80,70.24,0.72
10-Oct-25,48.12,9.47,11.78,2.01,5.93,2.84,0.08,0.07,5.85,1.82,7.54,9.25,45.06,31.93,6.22,16.84,79.80,24.00,74.02,0.71
11-Oct-25,52.89,10.35,12.34,2.26,6.30,3.13,0.08,0.08,6.04,1.96,7.39,9.16,44.58,32.36,6.52,16.69,80.37,23.60,71.57,0.72
12-Oct-25,52.81,10.33,12.30,2.34,6.23,3.14,0.08,0.08,6.07,1.97,6.90,9.56,46.00,31.39,6.17,16.77,79.94,23.20,72.50,0.75
13-Oct-25,52.84,10.42,12.30,2.32,6.23,3.12,0.08,0.08,6.08,1.98,7.39,9.48,44.33,32.53,6.27,16.76,81.02,24.00,71.67,0.74
14-Oct-25,53.05,10.52,12.06,2.32,6.14,3.10,0.08,0.08,5.92,1.96,7.74,9.68,44.47,31.78,6.33,16.95,79.87,23.60,70.06,0.75
15-Oct-25,53.10,10.35,12.08,2.27,6.12,3.11,0.08,0.08,5.96,1.97,7.38,9.54,44.28,32.74,6.06,16.78,81.06,23.20,73.12,0.73
16-Oct-25,53.16,10.27,12.05,2.18,6.14,3.09,0.08,0.08,5.92,1.96,7.47,9.42,43.52,32.96,6.63,16.68,80.54,23.80,71.62,0.70
17-Oct-25,53.09,10.30,12.15,2.12,6.17,3.13,0.08,0.08,5.98,1.97,7.47,9.50,44.61,32.15,6.27,16.82,81.12,23.30,72.20,0.68
18-Oct-25,53.13,10.39,12.13,2.14,6.15,3.11,0.08,0.08,5.98,1.97,7.23,9.53,44.70,32.39,6.15,16.76,79.06,24.00,70.32,0.69
19-Oct-25,53.07,10.32,12.25,2.11,6.24,3.16,0.08,0.08,6.00,1.96,7.50,9.69,44.50,32.10,6.21,16.88,78.68,23.60,71.16,0.67
20-Oct-25,53.02,10.43,12.29,2.14,6.25,3.16,0.08,0.08,6.04,1.97,7.67,9.64,43.82,32.57,6.30,16.85,79.32,24.00,72.34,0.68
21-Oct-25,53.06,10.42,12.26,2.11,6.25,3.15,0.08,0.09,6.01,1.96,7.78,9.65,43.77,32.60,6.20,16.90,78.54,23.40,70.43,0.67
22-Oct-25,53.06,10.26,12.27,2.11,6.23,3.12,0.08,0.08,6.04,1.97,7.27,9.25,44.24,32.45,6.79,16.62,79.04,24.20,71.30,0.68
23-Oct-25,53.04,10.00,12.29,2.07,6.20,3.16,0.08,0.08,6.10,1.98,8.00,9.61,43.67,32.52,6.20,16.96,78.90,24.00,72.12,0.66
24-Oct-25,53.10,10.32,12.29,2.09,6.25,3.14,0.08,0.08,6.03,1.96,7.59,9.89,44.49,31.75,6.30,16.95,80.10,23.40,70.34,0.67
25-Oct-25,53.09,10.28,12.23,2.13,6.24,3.12,0.08,0.09,5.99,1.96,7.42,9.76,44.23,32.17,6.42,16.82,77.82,24.00,71.26,0.68
26-Oct-25,53.11,10.38,12.22,2.09,6.23,3.13,0.08,0.09,6.00,1.96,7.26,9.20,46.33,31.19,6.02,16.85,80.16,23.60,69.42,0.67
27-Oct-25,53.10,10.24,12.26,2.11,6.10,3.16,0.08,0.09,6.16,2.01,7.50,9.82,44.30,32.25,6.13,16.89,79.00,23.80,70.31,0.67
28-Oct-25,53.17,10.23,12.16,2.06,6.11,3.16,0.08,0.09,6.05,1.99,7.56,9.33,43.79,32.65,6.67,16.71,80.14,24.20,72.05,0.65
29-Oct-25,53.17,10.30,12.18,2.08,6.14,3.18,0.08,0.09,6.04,1.98,7.60,9.75,44.50,31.81,6.34,16.92,80.64,23.60,73.93,0.65
